idempresa,idmercado,idindustria,infraestructura,bancos,insumo1,insumo2,enproceso,mercancias,clientes,proveedores,hipotecas,capitalsocial,utilidades
35,2,5,1166555.67,278483.4904,282900.1479,286615.4285,278710.3739,268818.0049,344306.7859,574037.646,622581.4049,1131005.476,578765.3753
36,1,2,567005.6121,289639.2739,271963.031,246686.5129,335307.3464,296100.858,321041.6537,539023.5417,549383.1699,1002755.228,236582.348
37,1,3,725362.6259,265570.8794,298343.8199,282983.1554,300284.3237,322673.9403,313826.0351,610060.5129,672470.0963,1087401.929,139112.2412
38,1,5,1221712.403,310684.508,297203.3498,302126.1629,293083.4635,286933.5713,284110.3513,570113.6744,562229.955,1122212.712,741297.4681
39,1,6,1844795.54,278004.4978,327413.8884,342685.5356,305352.5838,271261.8744,291311.2137,707227.6842,661334.4786,1211836.231,1080426.739
40,2,5,1231904.476,316294.3653,289511.2431,313949.9295,282121.3356,305079.3231,304736.4421,642796.0121,644186.9206,1207346.85,549267.3321
41,3,2,579290.857,274674.4297,283057.6264,315142.3488,306110.392,288354.7623,258091.5363,673166.7515,545694.0462,1263802.329,-177941.1743
42,2,4,903748.7567,265743.1356,323107.0969,322825.6143,294950.1353,328813.0573,294808.6459,630257.0804,616918.6556,1249603.552,237217.1543
43,3,6,1554310.105,312081.974,294308.72,336628.4628,317005.5355,317475.5824,246342.5711,565352.5513,712548.9104,1201326.034,898925.455
44,2,1,211304.5013,272021.8175,278684.2407,350496.1047,299227.3179,273562.8996,280239.8662,587701.914,569450.5298,1221055.66,-412671.356
45,2,2,573069.4946,312670.7805,312140.7979,279590.0101,261165.0727,267897.4704,297820.2266,615642.5102,645538.3222,1215794.437,-172621.417
46,1,4,992048.3513,302825.4677,303686.1386,329200.5948,295642.6332,309820.4174,332366.0797,500731.2625,540302.0763,1220569.949,603986.3945
47,1,5,1258379.306,299258.6235,307779.8049,286467.5336,321958.5878,285963.8512,312874.9055,509804.1672,567137.0701,1270572.024,725169.3511
48,3,2,608913.5045,302812.2836,294534.8712,298259.869,307691.9163,296170.027,303542.3259,617615.0393,572299.7209,1075521.426,146488.6114
49,2,2,539591.9239,364024.8491,294663.9228,270551.117,283726.8699,297866.9353,321148.5966,629931.963,624254.9644,1148683.405,-31296.11769
50,3,6,1718031.701,292162.6923,280959.5916,319705.9379,308987.1352,294639.0006,307112.2701,549726.1336,555550.0648,1272429.013,1143893.117
51,3,2,668662.4954,282541.8135,297089.4999,335829.0056,305125.5581,253504.384,336138.8329,592338.5904,547111.1215,1151207.559,188234.3184
52,3,6,1536063.15,262459.3468,295380.4215,283427.1457,261644.8532,313343.8905,298404.4887,573983.0391,685868.5001,1306678.278,684193.4795
53,3,6,1762494.509,303347.3651,306853.4295,333384.4641,329447.5387,324036.4757,312116.7088,583004.2673,586094.3996,1303056.647,1199525.177
54,3,6,1639210.981,334860.4727,323168.2437,288526.4301,314281.391,311118.4691,285036.5491,555830.8719,637062.7034,1265089.691,1038219.271
55,1,1,205500.1593,321370.9183,298018.619,303419.0292,265681.238,310333.6246,305084.4293,607860.2207,476978.0985,1086453.675,-161883.9762
56,3,6,1686821.778,299283.4875,317379.9293,294520.722,340125.8597,305831.4269,312571.5303,588343.169,628847.0868,1198752.339,1140592.139
57,3,6,1870744.72,288945.6413,261832.0517,308462.7557,308501.09,282228.7989,279972.138,621119.2007,643825.3106,1279334.079,1056408.605
58,2,2,643781.8974,307201.8266,322819.897,312086.1727,292970.9825,268273.3472,288723.8606,575834.1963,612814.7832,1199021.735,48187.26947
59,2,1,201379.9586,324502.8724,307893.3291,334800.596,330536.1747,273844.997,315708.3647,547400.8635,542310.9018,1176731.581,-177777.0541
60,2,1,196668.661,302907.8858,298792.9663,290277.1136,282189.1434,338155.7136,275083.1282,668844.2471,522288.6781,1203151.871,-410210.1848
61,2,4,1051091.356,272483.6979,310129.1198,258896.8041,282930.2781,283634.1521,297158.8653,586577.8821,573269.578,1231119.64,365357.1732
62,2,5,1270207.531,251823.4375,304660.2202,306306.5315,310007.9441,276582.1599,319465.3341,574101.286,543137.0489,1218988.42,702826.4035
63,3,5,1199803.479,316768.4135,310917.0548,309881.4684,330659.5203,299979.2192,335334.17,623076.0135,558766.6172,1283298.492,638202.2029
64,2,6,1470162.306,314600.372,316293.7999,327267.1568,294654.6297,306670.3048,335311.0117,594941.4346,554334.3578,1250650.696,965033.0929
65,2,2,555402.079,289664.2456,300680.6969,305678.886,332264.9269,282154.6985,302178.8319,633263.3164,576287.9711,1303390.236,-144917.1587
66,2,5,1302046.111,306542.6227,339644.3069,317900.9387,298760.8428,291753.028,340160.7571,593838.0722,606124.8902,1148297.162,848548.4837
67,1,2,714557.4769,308447.6004,304784.9262,287595.0676,301313.6456,326161.8078,293124.619,549998.1016,665380.5534,1123870.086,196736.4022
68,1,4,968860.9661,282809.7776,280014.8796,329873.4897,260141.1441,355110.9802,272723.6465,592301.4415,587876.3795,1261590.551,307766.512
69,2,5,1290517.772,303840.4894,325304.1363,293448.0354,271462.0971,299480.3184,297634.2115,498647.313,639011.2218,1281916.043,662112.4826
70,3,2,675498.7638,333631.5462,271592.4728,317716.4558,291293.0645,265450.5966,337456.0163,564678.3331,641645.7873,1196665.306,89649.48932
71,1,1,208591.7216,287647.6067,270220.7056,279701.7751,290804.0688,305702.0461,294400.7021,627775.1744,572300.7346,1263057.291,-526064.5742
72,3,3,736203.7205,334749.7188,266150.9563,286729.2831,301649.1817,256848.6586,275337.7214,590312.9491,595046.0156,1211680.194,60630.08231
73,2,1,181723.9825,287647.3821,277666.9724,263185.9647,274943.8908,282376.3314,253788.7313,616908.0859,572148.2626,1166211.452,-533934.5458
74,1,5,1396467.884,295332.241,307561.8503,271366.7733,290045.6975,323967.6027,311156.1843,629606.7141,586308.7765,1122453.681,857529.0612
75,2,1,187604.171,351746.57,319580.9487,304984.9238,282823.7029,268800.0483,304176.5909,577541.723,645539.9273,1253324.473,-456689.1681
76,3,3,729496.8133,298708.1222,328169.6347,287939.1036,335198.2997,321564.9315,262077.7996,598694.0541,569851.6568,1047052.154,347556.8399
77,2,4,1035646.111,318946.742,314841.8933,279275.5572,293395.213,333311.5496,269669.8119,655188.6086,600409.7799,1188028.55,401459.9396
78,2,5,1276823.031,272004.5946,316712.3313,315116.5452,269601.8165,295497.9635,304520.5285,600010.9312,593272.3853,1234343.546,622649.9481
79,1,5,1118205.11,321106.6441,307824.3992,302414.5054,276764.3686,273531.6795,288141.1538,617615.0814,590450.2856,1357039.705,322882.7888
80,2,5,1294340.038,335087.6749,311381.3559,296108.3595,265749.8083,287924.745,287187.982,574023.698,634654.5941,1123600.302,745501.3698
81,1,2,527906.1567,304804.8683,291318.1909,293228.9083,326002.6703,306588.9238,279405.6045,609922.2695,623998.0356,1366357.181,-271022.1635
82,2,1,202260.8375,292993.5742,313076.6126,246248.5052,272190.3736,294761.1217,316104.4534,585742.8979,528488.6985,1243668.838,-420264.9567
83,3,1,193565.9792,295838.7592,293936.597,338017.4389,312415.6992,302523.8668,322881.0208,519842.2176,614491.1986,1138140.438,-213294.4934
84,2,5,1247837.682,293247.5225,324413.5167,334979.6754,306411.2662,319493.2703,319166.5407,616139.7832,463975.4182,1222184.183,843250.0891
85,1,2,621054.9456,285258.3153,304948.0527,326888.6314,310543.5075,274547.2477,294328.6986,615781.6094,533169.5056,1111231.755,157386.5292
86,1,3,875486.3734,291609.3672,297014.039,323739.2339,316219.1136,298333.2239,287675.3124,549539.0929,653588.7729,1136461.536,350487.261
87,1,6,1636750.418,264716.703,293926.7418,311744.5535,288282.5111,289209.7398,303321.722,565555.3511,632226.3408,1095458.343,1094712.355
88,1,2,548177.8621,300935.6842,316259.6119,315135.7105,278293.9859,295417.7806,250709.1707,626396.1251,590587.9815,1155054.999,-67109.29966
89,1,6,1624829.08,307236.4401,285055.2643,278317.0544,290168.839,301498.383,307492.2426,536198.1652,615710.8702,1141570.03,1101118.238
90,3,6,1649384.03,311296.7858,281162.9226,346365.8703,305113.3961,315373.9093,326420.8921,576075.634,612433.965,1269477.697,1077130.511
91,2,4,955970.4289,308608.359,268473.7434,298908.4889,328817.1991,283969.5568,326069.5467,547245.7525,607437.6002,1405610.967,210523.0036
92,3,6,1869315.191,316696.9032,303179.5806,295916.7616,307115.7618,277070.1666,283241.9646,608050.785,569197.7718,1229734.316,1245553.457
93,2,3,781142.1663,317714.8722,275616.3362,301831.859,273547.0358,278343.262,268465.2946,552573.7307,630736.0704,1186324.985,127026.0406
94,2,3,747741.8393,284419.4535,274592.6026,302980.1345,298809.0074,306521.9508,314034.405,654025.2096,591918.4414,1148447.955,134707.787
95,3,5,1330529.77,295378.8586,289580.5529,334745.4555,292025.6413,308051.7971,278503.2311,569793.8541,620734.8191,1217171.439,721115.1938
96,1,5,1184984.516,288426.2809,317163.8387,317953.9485,298503.3188,285784.8631,279262.88,570347.9296,595904.3241,1298420.376,507407.0164
97,1,4,1043690.158,299298.2044,292631.8664,262133.1238,294863.7567,256561.5919,311047.1406,643992.0305,553919.7569,1304134.201,258179.8536
98,1,5,1065913.332,279351.9458,280503.1471,316345.5407,304266.7257,310141.5464,328932.4322,689344.2809,516707.6499,1105775.265,573627.4738
99,3,5,1295053.115,317201.0427,322012.6258,336322.4987,306558.8818,300128.196,305340.5351,624505.6653,610887.8489,1300664.843,646558.5387
100,2,2,603225.2908,265461.1327,272351.8343,313280.5275,328679.2867,341389.5547,295558.8984,603167.2134,609159.6415,1215619.996,-8000.32622
101,3,1,200848.7033,295055.6064,281164.4613,284548.4045,299917.517,315279.6757,302361.3751,548345.9108,552844.5714,1047279.062,-169293.8004
102,1,1,211583.0366,295245.9691,270878.8927,302969.1371,302950.9602,303680.6566,277700.3444,555028.3223,579057.877,1316033.636,-485110.8388
103,3,3,754595.131,330431.9765,305901.5474,314948.4216,305720.9296,346373.395,303947.9397,644803.65,585762.8442,1284469.253,146883.5932
104,2,3,914623.1944,341516.2909,309331.6985,293995.7059,293713.5473,302407.3887,329367.4856,553848.9016,604179.7994,1251125.296,375801.3139
105,1,2,652878.972,285974.5192,282008.749,300209.9393,297480.9121,284908.1202,316369.0423,663598.002,523464.184,1291837.037,-59068.96927
106,3,5,1263584.589,245063.881,302992.0279,315424.9767,322529.3784,330989.9167,300123.8496,650515.3325,529015.6292,1237411.374,663766.2837
107,2,6,1644117.557,308915.9904,302895.1066,324557.9639,277237.6469,272708.977,294271.4856,692011.4565,635970.9998,1126663.683,970058.5883
108,2,5,1187860.079,283519.4418,296067.8675,319871.0331,304180.7256,259044.7523,305428.0738,639608.8558,610851.3648,1170512.422,534999.3311
109,2,3,865763.3994,302605.7436,304038.9408,292532.7869,319546.4095,342438.2507,308809.4661,696472.0483,536677.3769,1160614.993,341970.5791
110,2,2,545695.5777,278294.0522,331474.6951,359310.2069,313803.5827,319670.5673,293939.6737,620085.1921,610159.5555,1160306.905,51636.70334
111,2,4,1095109.262,293182.0405,285261.3677,296898.6224,317780.9629,297535.4577,286883.4271,695264.6269,566905.8007,1123899.678,486581.0352
112,2,4,1033739.158,332450.3744,275159.5096,318104.4008,252867.442,291426.1069,307563.087,589736.4376,642881.8663,1289710.809,288980.9651
113,3,5,1099202.548,309863.2518,275071.9264,327326.501,327988.2817,245704.5531,295866.1955,600457.8395,638873.2751,1355324.097,286368.0456
114,1,6,1708822.453,286153.4552,288235.6063,292226.5754,288082.3688,278403.5232,307559.569,592817.8405,537094.3528,1145591.919,1173979.439
115,2,6,1647834.381,260762.4187,290209.4911,271346.5454,331251.1436,263849.9477,294992.3331,626819.8044,594529.5909,1185236.235,953660.6304
116,1,6,1591757.33,273668.9177,292488.3762,289751.4037,261081.4419,281543.8735,313861.0911,621868.0806,574492.9663,1188472.838,919318.5497
117,1,2,630907.1408,325881.0503,317618.4228,291064.1689,318704.9367,255765.4126,304875.0435,529091.7824,571697.9906,1263889.684,80136.71879
118,1,4,957451.6112,303850.3574,301129.1175,298337.3109,298531.2851,298521.0024,262565.9078,647384.8173,555307.8987,982266.3347,535427.5416
119,1,2,600424.1536,294499.2912,290515.2322,269658.0821,292410.9948,315317.9728,280984.575,614616.2895,548122.2967,1167134.4,13937.31532
120,1,2,624321.7769,285758.9449,300983.3962,298756.64,274062.665,284984.5186,295583.4917,668163.151,593767.1751,1299056.349,-196535.2416
121,2,6,1571466.392,339712.0328,339566.7196,293682.3762,311859.5591,316425.0748,269924.5714,616097.5145,551834.7252,1154117.151,1120587.335
122,2,6,1682231.652,370062.3917,266481.6772,346631.3584,271086.7658,284736.02,330443.9653,511561.1951,638580.7224,1133665.122,1267866.791
123,2,5,1281339.073,298538.3921,324857.2255,310448.9206,308871.7101,260397.3618,311083.2263,619496.917,609199.2194,1060114.444,806725.3295
124,1,1,212541.1661,312354.7322,326260.6116,280929.2653,293815.5982,278494.5536,313900.3626,664485.8338,612923.4432,1086905.219,-346018.2066
125,3,6,1718611.038,322706.4149,301424.1352,313214.5084,304972.2819,297004.8632,329252.1657,681128.2365,624338.9281,1348633.07,933085.1727
126,1,4,1064854.159,271972.4007,293673.2421,323396.36,289648.1888,293515.0505,303965.9634,548489.3232,661342.5199,1204484.763,426708.7589
127,1,2,568877.9058,289983.1248,288319.418,305778.5446,279744.7592,292031.3147,334561.2606,641820.1497,609310.3117,1203591.384,-95425.51767
128,3,5,1193662.809,325862.1928,317946.9141,321064.0207,327292.2673,291155.0952,329721.2525,642077.4054,598771.2725,1125322.473,740533.4011
129,3,2,600005.6118,341100.9571,333823.3942,296216.1654,308626.5672,307391.5453,330931.3392,643457.5899,591456.3372,1227892.708,55288.94511
130,3,5,1170022.557,316229.1114,291377.987,298214.1832,305689.3977,286909.3844,251496.9121,626977.525,657492.3897,1154756.61,480713.0081
131,3,3,853499.9497,283463.3174,312984.5241,286678.7785,344022.8607,294514.1011,307976.5754,568562.3139,632221.8659,1200719.816,281636.1113
132,1,2,585956.0861,336189.0324,311895.8771,264165.6649,265725.5075,296451.9223,328882.4939,533264.2691,643215.5959,1152496.529,60290.19042
133,2,5,1232926.484,273588.2908,260954.7661,262268.896,292510.5715,317908.8675,290834.4109,605969.1177,623773.7346,1207663.953,493585.4808
134,2,4,979505.2811,269515.0964,277829.1491,315141.2736,307859.3779,331457.5052,336149.9863,589405.9985,633821.6424,1388571.744,205658.2849
135,1,2,576933.5384,275137.7132,325869.9546,280106.3633,290399.8682,299990.058,292394.8213,583988.1652,666328.125,1208611.102,-118095.0748
136,2,2,554943.3906,332395.2879,334826.6905,294236.555,302145.6337,285444.5055,277886.5191,655794.7584,571633.7773,1344720.264,-190270.2173
137,1,4,1028559.262,287534.7535,305335.0098,289074.0128,271264.7446,293057.5422,313921.5346,549059.1336,579696.6918,1127612.932,532378.1026
138,2,6,1509625.928,326717.1616,310220.9735,303421.1343,284283.8339,293115.1238,315434.0874,500081.7465,590590.6852,1206965.225,1045180.585
139,1,3,787976.0406,283746.5505,276566.4624,297913.8239,330927.5611,279104.4437,333391.1434,554325.8275,556108.841,1272573.404,206617.9528
140,2,5,1246197.721,269014.6481,299225.4576,325864.7769,273823.8631,298179.5002,354625.4406,561730.7841,703743.5037,1110059.999,691397.1201
141,3,3,882440.1685,281409.4652,300516.2709,290591.9146,294000.4272,300450.232,292398.5439,682236.7266,616364.8762,1077505.423,265699.996
142,2,1,189982.784,343352.6237,275069.797,281491.0925,302835.7894,306588.0384,318581.045,599721.4464,583679.0712,1216808.774,-382308.1216
143,3,3,912555.5113,278737.6737,301223.4386,297831.2183,283420.6359,327243.0986,282827.8514,686309.1526,577535.456,1210450.49,209544.3292
144,3,3,736361.9411,361861.941,293201.0658,269534.4479,326990.305,306965.1567,279200.1338,621772.7435,629521.0342,1319016.436,3804.777574
145,2,1,199239.1173,265072.3553,332608.8229,279738.2255,280063.6326,266972.5247,306033.0388,571293.4542,531550.9712,1316061.517,-489178.2257
146,1,6,1373520.384,304685.9193,289415.7725,291601.2108,274978.2782,301125.7271,279260.7319,623428.0506,550205.7204,1220839.71,720114.5427
147,2,3,846710.8007,322457.1712,330980.3562,277801.0824,321979.3818,297671.1713,299965.4072,578331.1304,651612.7188,1212030.979,255590.5423
148,1,3,829754.6067,297726.6609,327923.9985,312045.3173,328325.4083,262740.7873,288994.1323,598639.5651,522131.61,1197119.132,329620.6039
149,3,1,201437.1482,335738.4783,268065.2424,289502.5921,310514.4614,335356.1441,274755.7069,622791.9997,633503.4176,1294223.047,-535148.6916
150,1,4,978031.1766,284454.5768,279557.2479,279836.532,294027.049,276756.7504,281155.3637,610296.0002,625957.8944,1291633.292,145931.5097
151,1,2,622971.1761,311140.6334,293596.5764,297172.1314,299296.7424,291931.5692,271429.9791,634694.3894,630476.508,1131601.748,-9233.837366
152,2,4,1106655.002,278343.9339,264709.3772,293433.9461,272668.8729,296359.4717,294125.5512,686926.0629,546101.3346,1283353.627,289915.1301
153,2,5,1313249.52,294969.6047,290379.0968,250885.3789,315416.8092,350996.5079,283341.1083,646103.8303,652725.2811,1183070.938,617337.9762
154,2,6,1488280.579,311748.6187,307048.3134,308735.7907,278014.8276,311411.1171,363773.5807,587892.1888,544872.2616,1216652.383,1019595.994
155,2,3,833777.9399,296215.5889,296460.7179,298702.3372,324255.9764,291114.2068,299896.8926,587124.5137,483613.4848,1360992.909,208692.7518
156,3,2,544005.1799,294314.5545,246218.2825,300145.6977,316428.6184,282819.8756,243882.9147,563090.6861,574986.9784,1294507.12,-204769.6609
157,1,4,1039991.047,273695.5906,322673.2651,296062.2157,292542.5288,303544.6654,292690.6116,594605.0113,668904.2339,1225898.304,331792.3749
158,1,5,1080513.226,291099.9332,267153.7447,295774.2813,302032.1618,275985.501,302188.8624,591123.6596,608222.7418,1215150.227,400251.0813
159,2,5,1268450.899,303883.1717,334076.4729,303553.6099,272215.0111,316459.7989,294264.4458,611308.3702,614881.8264,1296427.386,570285.8263
160,2,4,1027230.938,306467.3392,316730.6941,298227.2394,301618.5209,306724.9368,282901.2307,584177.3494,638441.4034,1181577.59,435704.5562
161,1,4,972825.869,295176.088,318528,281629.0221,290410.5285,287416.013,301796.9246,648168.0999,613508.9495,1270371.699,215733.6969
162,3,2,647677.0807,307166.28,298786.7418,294020.4747,270252.6227,336337.4622,296323.5757,610256.0756,643046.3609,1268169.81,-70908.00831
163,3,6,1520953.027,288553.723,303631.3186,310302.7687,326100.6515,264338.2591,315605.2052,610976.1595,585399.8249,1098511.803,1034597.165
164,2,5,1230925.88,269664.8119,306003.8234,310499.6973,276299.006,303086.834,292675.1202,604733.2867,664307.3181,1146533.443,573581.1253
165,3,3,815212.1804,315881.399,326378.9533,330578.778,273020.3851,330284.0776,311251.8195,595504.4337,630068.4179,1275381.643,201653.0979
166,3,6,1495914.587,320817.1293,289807.9489,298603.3526,294553.3316,292347.093,281643.5439,585066.5715,582847.6811,1206745.873,899026.8599
167,2,5,1166186.739,298486.1669,318002.9753,285456.3365,298566.7114,315626.6837,315524.9432,664158.3108,629019.2781,1316733.601,387939.3668
168,1,2,618077.8566,330948.8254,320249.4691,335313.3745,262513.3348,323703.0679,234750.444,628853.5146,597351.5046,1142020.688,57330.66495
169,2,5,1220646.337,274583.2936,277585.6119,301651.5177,325765.892,285826.9829,298079.4148,631337.9698,558782.3725,1330622.652,463396.0554
170,2,6,1559836.943,309437.3724,316901.7597,305584.1104,288190.1181,297464.7292,261156.1488,630413.0282,580704.6304,1236328.782,891124.7408
171,3,2,572596.0612,320360.4363,288865.8491,312095.7904,299633.2642,353496.4776,300136.1842,652196.6365,581779.2196,1321949.234,-108741.0275
172,2,4,1094055.503,282098.4607,323406.3475,295383.8459,327991.8106,313714.3276,319176.5147,604811.8234,573079.4725,1305398.404,472537.1097
173,3,2,576510.5504,292078.9454,337705.9874,315831.5796,294233.2428,311089.9485,258704.5633,552851.4947,572463.3403,1228224.498,32615.48434
174,2,2,574343.4768,297519.8632,273531.5916,310278.3324,271152.7968,255181.3587,306167.4075,577349.7455,520289.1557,1188806.99,1728.936281
175,3,6,1429260.347,343124.1578,280690.3556,290883.8598,270598.1813,318730.5715,304491.355,638994.7985,641330.7735,1236743.791,720709.4658
176,3,4,1012522.482,278470.1848,313465.7341,330161.6968,299889.017,300922.7185,330595.7376,618609.9982,535243.9467,1284344.96,427828.6656
177,2,4,991567.0463,304329.5922,313439.024,299240.2219,277880.0058,302164.8906,307531.3463,593359.3696,625139.416,1298245.196,279408.1457
178,3,5,1187951.025,330718.9809,315012.3997,298462.7855,306974.3759,291828.8322,291220.4187,522944.0094,578329.6196,1257573.502,663321.6869
179,2,1,203455.5766,274534.6108,308529.3562,306631.0075,282327.6084,278305.843,303071.8044,558077.8668,592973.6301,1157257.413,-351453.103
180,2,5,1174858.6,284844.0404,300859.1524,322839.2983,276481.6685,316249.2011,328463.743,661346.5834,532116.1607,1293959.782,517173.178
181,2,1,209959.7988,269137.7392,269287.753,271670.4091,320888.6889,305286.8139,287302.2614,603737.8865,586800.3853,1188522.933,-445527.7406
182,2,5,1330918.927,312868.9366,272870.753,269482.3998,281906.9193,311998.1272,321710.7036,617730.0126,592471.2924,1164067.655,727487.8062
183,2,2,614837.4594,263464.5185,325694.8299,285275.9614,320925.7117,300309.4987,310050.6373,594934.6351,600659.5304,1141006.322,83958.1291
184,2,6,1599302.534,313917.5412,313042.7087,267743.8502,280752.693,306645.5865,308434.7545,539844.4827,640867.7828,1263518.563,945608.8399
185,3,2,532695.2627,270537.6503,315700.7424,278007.3355,284006.3593,312550.0931,297947.1268,603295.6659,600267.4989,1130995.612,-43114.20696
186,3,6,1791128.027,263302.7942,320498.613,284348.9978,266587.8514,278641.082,341696.453,592975.8598,581360.2145,1139363.95,1232503.795
187,1,3,675503.4459,258722.7111,288502.749,314187.0366,279953.497,280231.593,297246.1754,585199.7945,630062.1211,1169506.653,9578.639448
188,1,2,568445.403,279440.9485,283865.8505,326987.4463,310354.8359,296029.6127,268974.4841,569235.987,618922.3944,1277949.304,-132009.1039
189,3,5,1232822.211,286993.1325,291785.0334,317109.8671,302267.1267,251672.3379,313412.4789,632691.3614,646354.4506,1261804.907,455211.468
190,2,6,1349550.547,319065.1752,307746.0228,287304.7353,286958.3108,295812.0955,310430.1574,682069.7319,604640.2317,1295078.341,575078.7394
191,1,1,174912.1149,309171.7727,296989.7729,322615.4994,314996.4735,305284.6559,306329.9649,598513.7078,585582.3827,1207141.449,-360937.2851
192,1,2,537153.1602,296346.0237,306993.0644,344875.9078,319779.648,306593.2593,282959.034,653043.5352,634867.8646,1362692.03,-255903.3326
193,1,5,1165065.889,275437.1362,325214.222,320969.1518,286851.1778,305455.2083,284454.2474,600622.6904,554054.7317,1115962.649,692806.9616
194,3,4,1011160.712,277380.4555,305918.1997,309840.4762,302496.1844,290401.5682,298822.7028,618177.5174,527367.8418,1124571.716,525903.2245
